1,1836
2,1836
3,1840
4,1840
5,1823
6,1823
7,59
8,61
9,62
10,63
11,65
12,1830
13,2226
14,1831
15,2728
16,1213
17,2627
18,2831
19,1112
20,1834
21,1834
22,1834
23,1834
24,1834
25,1834
26,1834
27,1834
28,1834
29,1835
30,1835
31,1835
32,1835
33,1835
34,1835
35,1835
36,1823
37,1823
38,1835
39,1835
40,1800
41,1801
42,1835
43,1835
44,1835
45,1835
46,1836
47,1836
48,1836
49,1836
50,1836
51,1836
52,1836
53,1836
54,1836
55,1836
56,1836
57,1836
58,1837
59,1837
60,1823
61,1823
62,1802
63,1802
64,1837
65,1837
66,1837
67,1837
68,1837
69,1837
70,1837
71,1838
72,1838
73,1838
74,1838
75,1838
76,1838
77,1838
78,1838
79,1838
80,1838
81,1838
82,1839
83,1839
84,1803
85,1803
86,1804
87,1823
88,1823
89,1839
90,1839
91,1839
92,1839
93,1839
94,1839
95,1839
96,1839
97,1840
98,1840
99,1840
100,1840
101,1840
102,1840
103,1840
104,1840
105,1840
106,1840
107,1805
108,1804
109,1804
110,1840
111,1840
112,1800
113,1800
114,1801
115,1801
116,1801
117,1801
118,1801
119,1802
120,1802
121,1802
122,1802
123,1803
124,1803
125,1803
126,1803
127,1804
128,1804
129,1806
130,1806
131,1805
132,1804
133,1804
134,1805
135,1805
136,1805
137,1805
138,1805
139,1805
140,1805
141,1805
142,1806
143,1806
144,1806
145,1806
146,1806
147,1806
148,1807
149,1807
150,1807
151,1807
152,1806
153,1807
154,1807
155,1807
156,1807
157,1807
158,1808
159,1808
160,1808
161,1808
162,1808
163,1809
164,1809
165,1809
166,1809
167,1810
168,1811
169,1811
170,1811
171,1812
172,1805
173,1818
174,1813
175,1807
176,1808
177,1807
178,1813
179,1814
180,1814
181,1817
182,1817
183,1817
184,1817
185,1818
186,1818
187,1818
188,1818
189,1818
190,1818
191,1818
192,1818
193,1818
194,1818
195,1818
196,1818
197,1818
198,1819
199,1818
200,1819
201,1819
202,1819
203,1819
204,1819
205,1819
206,1818
207,1819
208,1819
209,1819
210,1819
211,1819
212,1819
213,1819
214,1819
215,1820
216,1820
217,1820
218,1808
219,1821
220,1822
221,1822
222,1822
223,1822
224,1822
225,1823
226,1823
227,1823
228,1823
229,1824
230,1824
231,1824
232,1824
233,1825
234,1825
235,1825
236,1825
237,1826
238,1826
239,1826
240,1827
241,1809
242,1809
243,1827
244,1827
245,1828
246,1828
247,1828
248,1828
249,1828
250,1828
251,1829
252,1829
253,1829
254,1829
255,1830
256,1830
257,1830
258,1831
259,1831
260,1831
261,1831
262,1832
263,1823
264,1823
265,96
266,75
267,78
268,1810
269,1810
270,1920
271,1520
272,1832
273,1832
274,1832
275,1833
276,1833
277,1833
278,1833
279,1834
280,1834
281,1834
282,1834
283,1834
284,1835
285,1835
286,1835
287,1835
288,1835
289,1835
290,1836
291,1836
292,1810
293,1810
294,1811
295,1837
296,1838
297,1838
298,1839
299,1839
300,1839
301,1839
302,1839
303,1840
304,1840
305,1840
306,1840
307,1840
308,1841
309,1815
310,1815
311,1816
312,1811
313,1817
314,1817
315,1817
316,1817
317,1817
318,1804
319,1804
320,1804
321,1804
322,1804
323,1804
324,1804
325,1804
326,1804
327,1804
328,1804
329,1804
330,1805
331,1805
332,1805
333,1805
334,1812
335,1811
336,1811
337,1805
338,1805
339,1805
340,1805
341,1805
342,1805
343,1805
344,1805
345,1805
346,1805
347,1805
348,1805
349,1805
350,1805
351,1805
352,1806
353,1806
354,1806
355,1806
356,1806
357,1812
358,1806
359,1806
360,1806
361,1806
362,1806
363,1806
364,1806
365,1806
366,1806
367,1807
368,1807
369,1807
370,1807
371,1807
372,1807
373,1807
374,1807
375,1807
376,1807
377,1807
378,1812
379,1812
380,1807
381,1807
382,1807
383,1807
384,1807
385,1807
386,1808
387,1808
388,1808
389,1808
390,1808
391,1808
392,1808
393,1808
394,1808
395,1808
396,1808
397,1808
398,1809
399,1809
400,1813
401,1812
402,1813
403,1809
404,1809
405,1809
406,1809
407,1809
408,1809
409,1809
410,1809
411,1809
412,1809
413,1809
414,1810
415,1810
416,1810
417,1810
418,1810
419,1810
420,1810
421,1810
422,1810
423,1813
424,1814
